order_id,order_date,customer_id,customer_name,customer_age,city,state,zone,category,product,sku,quantity,unit_price,gross_sales,coupon_code,discount_amount,gst_rate,net_sales,gst_amount,payment_mode,order_status,sales_channel,sales_employee,delivery_partner,delivery_days,customer_rating,cogs,profit,profit_margin_pct,shipping_charges,invoice_amount
IN240102261,04-Jan-2024,CUST84968,Reyansh Deshmukh,57,Jaipur,Rajasthan,North,Home & Kitchen,Pressure Cooker,HOM-PRE746,2,2399,4798,WELCOME100,100.00,0.18,4698.00,845.64,COD,Delivered,Website,Tanvi Jadhav,Xpressbees,5,5,3357.18,1340.82,0.2854,102.00,5645.64
IN240102335,04-Jan-2024,CUST79742,Rutuja Kapoor,56,Pune,Maharashtra,West,Fashion,Sneakers,FAS-SNE760,1,2399,2399,FREESHIP,0.00,0.12,2399.00,287.88,Debit Card,Delivered,Website,Deepak Yadav,Delhivery,4,5,1623.32,775.68,0.3233,77.00,2763.88
IN240100624,05-Jan-2024,CUST96944,Ayaan Kulkarni,26,Ranchi,Jharkhand,East,Electronics,Keyboard,ELE-KEY897,1,2899,2899,No Coupon,0.00,0.18,2899.00,521.82,UPI,Delivered,Mobile App,Karan Malhotra,Xpressbees,8,4,2358.55,540.45,0.1864,136.00,3556.82
IN240101453,05-Jan-2024,CUST71963,Swati Deshmukh,57,Ranchi,Jharkhand,East,Home & Kitchen,Mixer Grinder,HOM-MIX752,1,4799,4799,MEGADEAL,863.82,0.12,3935.18,472.22,UPI,Delivered,Website,Priya Nair,Ecom Express,3,3,3466.72,468.46,0.1190,146.00,4553.40
IN240101565,05-Jan-2024,CUST18630,Prachi Qureshi,40,Jaipur,Rajasthan,North,Electronics,Bluetooth Speaker,ELE-BLU732,4,1699,6796,FESTIVE10,679.60,0.12,6116.40,733.97,UPI,Returned,Marketplace,Vikram Singh,Xpressbees,6,4,4937.53,1178.87,0.1927,61.00,6911.37
IN240101995,05-Jan-2024,CUST69513,Rahul Dhawale,38,Ranchi,Jharkhand,East,Beauty & Personal Care,Hair Oil,BEA-HAI125,3,246,738,No Coupon,0.00,0.18,738.00,132.84,Debit Card,Shipped,Website,Neha Patel,Delhivery,3,,431.35,306.65,0.4155,72.00,942.84
IN240102299,05-Jan-2024,CUST92936,Siddharth Mishra,37,Coimbatore,Tamil Nadu,South,Mobiles & Accessories,Power Bank,MOB-POW466,1,1599,1599,NEWYEAR10,159.90,0.12,1439.10,172.69,UPI,Delivered,Marketplace,Rohan Mehta,Ecom Express,5,4,1353.82,85.28,0.0593,121.00,1732.79
IN240102390,05-Jan-2024,CUST13566,Nisha Bhatia,39,Jaipur,Rajasthan,North,Home & Kitchen,Cookware Set,HOM-COO501,1,7099,7099,WELCOME100,100.00,0.12,6999.00,839.88,Wallet,Returned,Mobile App,Rohan Mehta,India Post,8,4,4944.25,2054.75,0.2936,127.00,7965.88
IN240100253,06-Jan-2024,CUST23137,Komal Qureshi,54,Bhubaneswar,Odisha,East,Fashion,Women Kurti,FAS-WOM197,3,693,2079,No Coupon,0.00,0.12,2079.00,249.48,COD,Delivered,Website,Priya Nair,Shadowfax,3,3,1322.56,756.44,0.3638,79.00,2407.48
IN240100583,06-Jan-2024,CUST98745,Rahul Jadhav,28,Bhubaneswar,Odisha,East,Grocery & Gourmet,Spices Combo,GRO-SPI329,1,227,227,MEGADEAL,40.86,0.18,186.14,33.51,UPI,Delivered,Website,Priya Nair,Delhivery,6,4,140.98,45.16,0.2426,69.00,288.65
IN240101274,06-Jan-2024,CUST46192,Nikhil Kadam,21,Indore,Madhya Pradesh,Central,Home & Kitchen,Mixer Grinder,HOM-MIX708,2,5999,11998,MEGADEAL,2159.64,0.12,9838.36,1180.60,UPI,Delivered,Mobile App,Rohan Mehta,DTDC,5,3,7880.34,1958.02,0.1990,132.00,11150.96
IN240101749,06-Jan-2024,CUST20794,Karan Iyer,26,Gurugram,Haryana,North,Fashion,Saree,FAS-SAR728,2,6599,13198,No Coupon,0.00,0.18,13198.00,2375.64,UPI,Delivered,Mobile App,Amit Sharma,Ecom Express,4,2,8673.55,4524.45,0.3428,179.00,15752.64
IN240101860,06-Jan-2024,CUST36897,Neha Bhatia,21,Thiruvananthapuram,Kerala,South,Fashion,Handbag,FAS-HAN801,1,2999,2999,No Coupon,0.00,0.18,2999.00,539.82,COD,Cancelled,Mobile App,Sagar Pawar,India Post,2,,1956.04,1042.96,0.3478,0.00,3538.82
IN240100079,07-Jan-2024,CUST65357,Diya Nair,45,Ranchi,Jharkhand,East,Home & Kitchen,Bedsheet Set,HOM-BED870,1,1000,1000,No Coupon,0.00,0.12,1000.00,120.00,Credit Card,Delivered,Website,Swati Mishra,DTDC,3,5,595.74,404.26,0.4043,107.00,1227.00
IN240100493,07-Jan-2024,CUST25232,Meera Nair,33,Surat,Gujarat,West,Fashion,Sneakers,FAS-SNE384,2,2299,4598,No Coupon,0.00,0.12,4598.00,551.76,Net Banking,Delivered,Mobile App,Kavya Deshmukh,Shadowfax,5,5,3075.35,1522.65,0.3312,118.00,5267.76
IN240101716,07-Jan-2024,CUST17157,Shaurya Agarwal,46,Kochi,Kerala,South,Home & Kitchen,Pressure Cooker,HOM-PRE877,2,1499,2998,No Coupon,0.00,0.12,2998.00,359.76,UPI,Delivered,Mobile App,Vikram Singh,India Post,2,1,2026.06,971.94,0.3242,78.00,3435.76
IN240101973,07-Jan-2024,CUST37362,Isha Yadav,55,Kolkata,West Bengal,East,Fashion,Saree,FAS-SAR149,1,1999,1999,No Coupon,0.00,0.18,1999.00,359.82,Credit Card,Delivered,Mobile App,Tanvi Jadhav,Xpressbees,2,5,1495.08,503.92,0.2521,129.00,2487.82
IN240100480,08-Jan-2024,CUST27327,Anika Gupta,40,Ludhiana,Punjab,North,Beauty & Personal Care,Face Wash,BEA-FAC704,2,258,516,No Coupon,0.00,0.12,516.00,61.92,Credit Card,Returned,Website,Amit Sharma,DTDC,2,5,346.85,169.15,0.3278,87.00,664.92
IN240101245,08-Jan-2024,CUST42607,Janhavi Singh,34,Ludhiana,Punjab,North,Fashion,Men T-Shirt,FAS-MEN186,1,429,429,NEWYEAR10,42.90,0.18,386.10,69.50,Debit Card,Delivered,Mobile App,Neha Patel,Blue Dart,3,5,289.84,96.26,0.2493,126.00,581.60
IN240102260,08-Jan-2024,CUST92201,Karan Nair,52,Lucknow,Uttar Pradesh,North,Electronics,Wireless Mouse,ELE-WIR501,1,548,548,WELCOME100,100.00,0.12,448.00,53.76,UPI,Delivered,Mobile App,Kavya Deshmukh,India Post,7,5,468.75,-20.75,-0.0463,109.00,610.76
IN240102432,08-Jan-2024,CUST89163,Nikhil Kadam,18,Delhi,Delhi,North,Electronics,Keyboard,ELE-KEY968,1,3899,3899,No Coupon,0.00,0.18,3899.00,701.82,UPI,Shipped,Mobile App,Sneha Kulkarni,Delhivery,5,,2968.53,930.47,0.2386,100.00,4700.82
IN240101516,09-Jan-2024,CUST19427,Tanvi Iyer,49,Bengaluru,Karnataka,South,Fashion,Sneakers,FAS-SNE791,1,1399,1399,DIWALI20,279.80,0.12,1119.20,134.30,UPI,Returned,Mobile App,Swati Mishra,Blue Dart,4,5,950.69,168.51,0.1506,89.00,1342.50
IN240101541,09-Jan-2024,CUST75045,Pranav Qureshi,53,Kochi,Kerala,South,Mobiles & Accessories,Power Bank,MOB-POW130,2,1699,3398,No Coupon,0.00,0.12,3398.00,407.76,UPI,Delivered,Website,Manish Iyer,DTDC,3,4,2716.31,681.69,0.2006,81.00,3886.76
IN240101756,09-Jan-2024,CUST63600,Yash Kumar,42,Visakhapatnam,Andhra Pradesh,South,Home & Kitchen,Pressure Cooker,HOM-PRE926,1,1399,1399,No Coupon,0.00,0.12,1399.00,167.88,UPI,Delivered,Mobile App,Vikram Singh,DTDC,5,3,820.97,578.03,0.4132,76.00,1642.88
IN240101925,09-Jan-2024,CUST72048,Akshay Pillai,25,Vadodara,Gujarat,West,Fashion,Jeans,FAS-JEA304,1,1199,1199,No Coupon,0.00,0.12,1199.00,143.88,COD,Delivered,Website,Pooja Reddy,Delhivery,4,5,726.29,472.71,0.3943,80.00,1422.88
IN240101953,09-Jan-2024,CUST88200,Ira Joshi,54,Hyderabad,Telangana,South,Grocery & Gourmet,Basmati Rice 5kg,GRO-BAS345,1,661,661,No Coupon,0.00,0.18,661.00,118.98,Debit Card,Delivered,Mobile App,Sneha Kulkarni,Delhivery,3,5,489.29,171.71,0.2598,69.00,848.98
IN240102040,09-Jan-2024,CUST21121,Ishaan Rathod,48,Coimbatore,Tamil Nadu,South,Mobiles & Accessories,Smart Watch,MOB-SMA703,3,13799,41397,No Coupon,0.00,0.12,41397.00,4967.64,Wallet,Delivered,Website,Karan Malhotra,India Post,4,4,31666.32,9730.68,0.2351,92.00,46456.64
IN240100366,10-Jan-2024,CUST50585,Pooja Deshmukh,39,Pune,Maharashtra,West,Electronics,Keyboard,ELE-KEY645,3,2299,6897,APPONLY,551.76,0.12,6345.24,761.43,UPI,Delivered,Mobile App,Nikhil Bansal,Xpressbees,1,1,5662.46,682.78,0.1076,119.00,7225.67
IN240100387,10-Jan-2024,CUST91375,Saanvi Nair,47,Bhubaneswar,Odisha,East,Sports & Fitness,Fitness Band,SPO-FIT289,5,4199,20995,PAYDAY15,3149.25,0.18,17845.75,3212.24,UPI,Delivered,Mobile App,Neha Patel,Delhivery,4,5,14656.35,3189.40,0.1787,80.00,21137.99
IN240101072,10-Jan-2024,CUST40485,Harsh Iyer,21,Gurugram,Haryana,North,Electronics,Bluetooth Speaker,ELE-BLU973,2,12899,25798,No Coupon,0.00,0.18,25798.00,4643.64,UPI,Delivered,Mobile App,Neha Patel,Xpressbees,3,1,19470.24,6327.76,0.2453,180.00,30621.64
IN240102420,10-Jan-2024,CUST11543,Vihaan Ansari,55,Vijayawada,Andhra Pradesh,South,Electronics,Laptop,ELE-LAP973,1,33399,33399,PAYDAY15,5009.85,0.18,28389.15,5110.05,UPI,Delivered,Marketplace,Neha Patel,Delhivery,3,5,26290.82,2098.33,0.0739,87.00,33586.20
IN240100850,11-Jan-2024,CUST29115,Anaya Kumar,45,Ahmedabad,Gujarat,West,Electronics,Wireless Mouse,ELE-WIR651,1,1199,1199,FREESHIP,0.00,0.18,1199.00,215.82,UPI,Delivered,Website,Kavya Deshmukh,DTDC,5,2,889.70,309.30,0.2580,135.00,1549.82
IN240100992,11-Jan-2024,CUST19375,Akshay Saxena,23,Guwahati,Assam,North East,Books & Stationery,Notebook Pack,BOO-NOT509,1,364,364,DIWALI20,72.80,0.05,291.20,14.56,Credit Card,Delivered,Mobile App,Sagar Pawar,Blue Dart,5,5,265.37,25.83,0.0887,91.00,396.76
IN240101904,11-Jan-2024,CUST21295,Meera Mehta,37,Patna,Bihar,East,Fashion,Women Kurti,FAS-WOM646,2,1499,2998,No Coupon,0.00,0.12,2998.00,359.76,Credit Card,Delivered,Website,Sagar Pawar,DTDC,3,4,2181.15,816.85,0.2725,127.00,3484.76
IN240100726,12-Jan-2024,CUST82699,Atharv Qureshi,32,Mysuru,Karnataka,South,Electronics,Wireless Mouse,ELE-WIR969,1,2399,2399,FREESHIP,0.00,0.12,2399.00,287.88,UPI,Delivered,Mobile App,Nikhil Bansal,Shadowfax,2,4,1933.55,465.45,0.1940,94.00,2780.88
IN240101284,12-Jan-2024,CUST78988,Krishna Iyer,36,Vadodara,Gujarat,West,Fashion,Jeans,FAS-JEA142,2,2299,4598,No Coupon,0.00,0.12,4598.00,551.76,UPI,Delivered,Website,Swati Mishra,Shadowfax,4,4,3000.70,1597.30,0.3474,76.00,5225.76
IN240102370,12-Jan-2024,CUST50713,Aadhya Agarwal,23,Pune,Maharashtra,West,Fashion,Jeans,FAS-JEA937,4,2699,10796,FESTIVE10,1079.60,0.12,9716.40,1165.97,UPI,Returned,Mobile App,Manish Iyer,Blue Dart,3,1,7850.66,1865.74,0.1920,173.00,11055.37
IN240102394,12-Jan-2024,CUST91702,Siddharth Mehta,52,Hyderabad,Telangana,South,Grocery & Gourmet,Coffee Pack,GRO-COF762,1,669,669,No Coupon,0.00,0.18,669.00,120.42,UPI,Delivered,Mobile App,Kavya Deshmukh,Blue Dart,3,5,499.53,169.47,0.2533,107.00,896.42
IN240100411,13-Jan-2024,CUST29055,Sneha Mishra,27,Lucknow,Uttar Pradesh,North,Sports & Fitness,Fitness Band,SPO-FIT288,2,3899,7798,WELCOME100,100.00,0.12,7698.00,923.76,UPI,Delivered,Website,Anjali Joshi,Blue Dart,2,5,5677.97,2020.03,0.2624,108.00,8729.76
IN240100564,13-Jan-2024,CUST41497,Kiara Pillai,36,Bengaluru,Karnataka,South,Mobiles & Accessories,Power Bank,MOB-POW782,2,2499,4998,No Coupon,0.00,0.18,4998.00,899.64,UPI,Shipped,Mobile App,Priya Nair,Ecom Express,3,,3971.36,1026.64,0.2054,156.00,6053.64
IN240100635,13-Jan-2024,CUST64810,Akshay Kulkarni,32,Hyderabad,Telangana,South,Mobiles & Accessories,Bluetooth Earbuds,MOB-BLU314,5,6499,32495,No Coupon,0.00,0.12,32495.00,3899.40,Debit Card,Shipped,Mobile App,Tanvi Jadhav,Delhivery,3,,25478.34,7016.66,0.2159,165.00,36559.40
IN240101256,13-Jan-2024,CUST19072,Nikhil Yadav,30,Indore,Madhya Pradesh,Central,Grocery & Gourmet,Basmati Rice 5kg,GRO-BAS333,1,896,896,No Coupon,0.00,0.12,896.00,107.52,COD,Returned,Website,Manish Iyer,India Post,3,5,628.65,267.35,0.2984,69.00,1072.52
IN240101977,13-Jan-2024,CUST29063,Akshay Malhotra,57,Noida,Uttar Pradesh,North,Grocery & Gourmet,Spices Combo,GRO-SPI650,2,769,1538,No Coupon,0.00,0.18,1538.00,276.84,COD,Delivered,Website,Neha Patel,DTDC,4,5,1135.49,402.51,0.2617,158.00,1972.84
IN240102178,13-Jan-2024,CUST75645,Sneha Kulkarni,35,Thiruvananthapuram,Kerala,South,Home & Kitchen,Water Purifier,HOM-WAT346,1,15099,15099,No Coupon,0.00,0.18,15099.00,2717.82,UPI,Delivered,Website,Priya Nair,Shadowfax,4,5,8819.58,6279.42,0.4159,176.00,17992.82
IN240102272,13-Jan-2024,CUST28293,Manish Agarwal,28,Guwahati,Assam,North East,Mobiles & Accessories,Bluetooth Earbuds,MOB-BLU302,1,8399,8399,APPONLY,671.92,0.12,7727.08,927.25,UPI,Delivered,Website,Priya Nair,Xpressbees,6,5,6141.18,1585.90,0.2052,141.00,8795.33
IN240100867,14-Jan-2024,CUST44366,Diya Bhatia,23,Mysuru,Karnataka,South,Home & Kitchen,Mixer Grinder,HOM-MIX473,1,6299,6299,FREESHIP,0.00,0.18,6299.00,1133.82,Credit Card,Delivered,Website,Isha Gupta,Delhivery,5,3,4269.23,2029.77,0.3222,65.00,7497.82
IN240100252,15-Jan-2024,CUST25574,Komal Reddy,39,Guwahati,Assam,North East,Mobiles & Accessories,Phone Cover,MOB-PHO992,2,884,1768,FESTIVE10,176.80,0.18,1591.20,286.42,UPI,Returned,Website,Rahul Verma,DTDC,3,5,1349.07,242.13,0.1522,137.00,2014.62
IN240100600,15-Jan-2024,CUST40285,Anika Singh,21,Gurugram,Haryana,North,Home & Kitchen,Water Purifier,HOM-WAT443,1,20099,20099,No Coupon,0.00,0.12,20099.00,2411.88,UPI,Delivered,Website,Kavya Deshmukh,Ecom Express,4,3,13358.66,6740.34,0.3354,122.00,22632.88
IN240100649,15-Jan-2024,CUST13272,Nikhil Shinde,35,Lucknow,Uttar Pradesh,North,Home & Kitchen,Pressure Cooker,HOM-PRE317,1,3699,3699,No Coupon,0.00,0.18,3699.00,665.82,UPI,Delivered,Website,Anjali Joshi,Xpressbees,3,4,2674.88,1024.12,0.2769,87.00,4451.82
IN240102292,15-Jan-2024,CUST15958,Ishaan Bhatia,36,Noida,Uttar Pradesh,North,Mobiles & Accessories,Smartphone,MOB-SMA753,2,12599,25198,No Coupon,0.00,0.12,25198.00,3023.76,UPI,Shipped,Marketplace,Anjali Joshi,Ecom Express,3,,21171.67,4026.33,0.1598,176.00,28397.76
IN240100439,16-Jan-2024,CUST33070,Pooja Shinde,26,Coimbatore,Tamil Nadu,South,Electronics,LED TV,ELE-LED278,1,23199,23199,FREESHIP,0.00,0.18,23199.00,4175.82,Wallet,Delivered,Mobile App,Kavya Deshmukh,India Post,4,5,19266.77,3932.23,0.1695,172.00,27546.82
IN240101222,16-Jan-2024,CUST53855,Pooja Sharma,39,Ranchi,Jharkhand,East,Mobiles & Accessories,Power Bank,MOB-POW771,1,3799,3799,PAYDAY15,569.85,0.12,3229.15,387.50,Debit Card,Shipped,Website,Kavya Deshmukh,Delhivery,3,,3025.47,203.68,0.0631,146.00,3762.65
IN240101741,17-Jan-2024,CUST59620,Amit Das,47,Hyderabad,Telangana,South,Home & Kitchen,Pressure Cooker,HOM-PRE254,5,2599,12995,WELCOME100,100.00,0.12,12895.00,1547.40,Debit Card,Delivered,Marketplace,Swati Mishra,Xpressbees,3,3,8126.79,4768.21,0.3698,127.00,14569.40
IN240100075,18-Jan-2024,CUST40023,Saanvi Joshi,43,Ahmedabad,Gujarat,West,Home & Kitchen,Bedsheet Set,HOM-BED913,1,1099,1099,FESTIVE10,109.90,0.18,989.10,178.04,Credit Card,Delivered,Mobile App,Isha Gupta,Xpressbees,3,3,796.89,192.21,0.1943,98.00,1265.14
IN240101656,18-Jan-2024,CUST37706,Akshay Gaikwad,19,Nashik,Maharashtra,West,Mobiles & Accessories,Bluetooth Earbuds,MOB-BLU748,1,7599,7599,WELCOME100,100.00,0.12,7499.00,899.88,UPI,Shipped,Mobile App,Pooja Reddy,Delhivery,5,,6472.11,1026.89,0.1369,180.00,8578.88
IN240101759,18-Jan-2024,CUST36503,Kiara Ghosh,48,Indore,Madhya Pradesh,Central,Fashion,Saree,FAS-SAR698,1,2499,2499,No Coupon,0.00,0.18,2499.00,449.82,UPI,Delivered,Mobile App,Karan Malhotra,Delhivery,4,3,1562.59,936.41,0.3747,144.00,3092.82
IN240102219,18-Jan-2024,CUST81689,Saanvi Shaikh,34,Indore,Madhya Pradesh,Central,Grocery & Gourmet,Coffee Pack,GRO-COF846,4,904,3616,PAYDAY15,542.40,0.12,3073.60,368.83,COD,Delivered,Social Commerce,Karan Malhotra,Xpressbees,3,4,2631.22,442.38,0.1439,96.00,3538.43
IN240101403,19-Jan-2024,CUST83670,Diya Kumar,22,Chandigarh,Chandigarh,North,Beauty & Personal Care,Skin Cream,BEA-SKI817,3,1099,3297,WELCOME100,100.00,0.18,3197.00,575.46,UPI,Shipped,Mobile App,Swati Mishra,Delhivery,3,,2191.66,1005.34,0.3145,178.00,3950.46
IN240101434,19-Jan-2024,CUST54664,Siddharth Malhotra,40,Ludhiana,Punjab,North,Fashion,Jeans,FAS-JEA636,1,1499,1499,PAYDAY15,224.85,0.18,1274.15,229.35,COD,Delivered,Marketplace,Anjali Joshi,Blue Dart,6,4,878.89,395.26,0.3102,129.00,1632.50
IN240101624,19-Jan-2024,CUST26226,Myra More,31,Surat,Gujarat,West,Electronics,Laptop,ELE-LAP330,1,127399,127399,WELCOME100,100.00,0.12,127299.00,15275.88,COD,Delivered,Marketplace,Priya Nair,India Post,3,5,98540.86,28758.14,0.2259,150.00,142724.88
IN240102363,19-Jan-2024,CUST99260,Saanvi Banerjee,58,Coimbatore,Tamil Nadu,South,Fashion,Handbag,FAS-HAN144,1,4399,4399,FESTIVE10,439.90,0.12,3959.10,475.09,UPI,Delivered,Mobile App,Anjali Joshi,India Post,5,1,3302.66,656.44,0.1658,105.00,4539.19
IN240100115,20-Jan-2024,CUST53380,Neha Mehta,39,Nashik,Maharashtra,West,Mobiles & Accessories,Power Bank,MOB-POW962,2,3599,7198,FREESHIP,0.00,0.12,7198.00,863.76,Net Banking,Delivered,Mobile App,Manish Iyer,DTDC,4,4,5500.44,1697.56,0.2358,97.00,8158.76
IN240100302,20-Jan-2024,CUST88370,Sagar Bhatia,40,Mumbai,Maharashtra,West,Fashion,Jeans,FAS-JEA398,1,2999,2999,WELCOME100,100.00,0.12,2899.00,347.88,Debit Card,Returned,Mobile App,Amit Sharma,Shadowfax,3,4,2323.31,575.69,0.1986,162.00,3408.88
IN240100313,20-Jan-2024,CUST59393,Diya Kadam,34,Noida,Uttar Pradesh,North,Mobiles & Accessories,Bluetooth Earbuds,MOB-BLU217,1,2599,2599,MEGADEAL,467.82,0.18,2131.18,383.61,Credit Card,Delivered,Mobile App,Rohan Mehta,Ecom Express,5,3,2123.46,7.72,0.0036,109.00,2623.79
IN240101248,20-Jan-2024,CUST89744,Vikram Chatterjee,44,Vadodara,Gujarat,West,Home & Kitchen,Cookware Set,HOM-COO599,3,5999,17997,No Coupon,0.00,0.18,17997.00,3239.46,Debit Card,Delivered,Website,Tanvi Jadhav,Shadowfax,5,4,11539.62,6457.38,0.3588,162.00,21398.46
IN240101801,20-Jan-2024,CUST30461,Nisha Malhotra,27,Bengaluru,Karnataka,South,Grocery & Gourmet,Tea Pack,GRO-TEA785,5,471,2355,DIWALI20,471.00,0.12,1884.00,226.08,UPI,Delivered,Marketplace,Manish Iyer,Delhivery,2,5,1449.96,434.04,0.2304,149.00,2259.08
IN240101395,21-Jan-2024,CUST20057,Rajesh Mishra,35,Bhopal,Madhya Pradesh,Central,Fashion,Women Kurti,FAS-WOM893,1,678,678,No Coupon,0.00,0.12,678.00,81.36,UPI,Shipped,Marketplace,Tanvi Jadhav,Ecom Express,3,,453.18,224.82,0.3316,86.00,845.36
IN240102243,21-Jan-2024,CUST22665,Myra Bhatia,38,Lucknow,Uttar Pradesh,North,Home & Kitchen,Cookware Set,HOM-COO672,3,6599,19797,FESTIVE10,1979.70,0.18,17817.30,3207.11,COD,Delivered,Website,Isha Gupta,DTDC,4,5,13141.26,4676.04,0.2624,126.00,21150.41
IN240100056,22-Jan-2024,CUST16593,Mansi Jadhav,38,Kochi,Kerala,South,Books & Stationery,Office Diary,BOO-OFF733,1,453,453,APPONLY,36.24,0.18,416.76,75.02,Wallet,Cancelled,Website,Rahul Verma,India Post,5,,311.41,105.35,0.2528,0.00,491.78
IN240100574,22-Jan-2024,CUST99353,Payal Singh,46,Surat,Gujarat,West,Electronics,Keyboard,ELE-KEY287,1,2599,2599,PAYDAY15,389.85,0.18,2209.15,397.65,Credit Card,Delivered,Mobile App,Vikram Singh,Xpressbees,2,5,1932.40,276.75,0.1253,131.00,2737.80
IN240101957,22-Jan-2024,CUST89502,Payal Singh,45,Ranchi,Jharkhand,East,Home & Kitchen,Mixer Grinder,HOM-MIX856,3,4399,13197,PAYDAY15,1979.55,0.12,11217.45,1346.09,UPI,Delivered,Website,Swati Mishra,Ecom Express,2,5,8179.78,3037.67,0.2708,99.00,12662.54
